Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Reactor.GND_R08,  0.0259436,  -134.23,          0,     0.00,          0,     0.00,          0,     0.00,  0.0259436,  -134.23,  0.0259436,    45.77,          0,     0.00,          0,     0.00,          0,     0.00,  0.0259436,    45.77
Reactor.GND_R09,    0.02178,   -29.28,          0,     0.00,          0,     0.00,          0,     0.00,    0.02178,   -29.28,    0.02178,   150.72,          0,     0.00,          0,     0.00,          0,     0.00,    0.02178,   150.72
Reactor.GND_R10,  0.0236618,   -11.74,          0,     0.00,          0,     0.00,          0,     0.00,  0.0236618,   -11.74,  0.0236618,   168.26,          0,     0.00,          0,     0.00,          0,     0.00,  0.0236618,   168.26
Reactor.GND_R11, 0.00934997,   -58.12,          0,     0.00,          0,     0.00,          0,     0.00, 0.00934997,   -58.12, 0.00934997,   121.88,          0,     0.00,          0,     0.00,          0,     0.00, 0.00934997,   121.88
Reactor.GND_R12, 0.00555874,   -64.41,          0,     0.00,          0,     0.00,          0,     0.00, 0.00555874,   -64.41, 0.00555874,   115.59,          0,     0.00,          0,     0.00,          0,     0.00, 0.00555874,   115.59
Reactor.GND_R13, 0.00551284,   -51.62,          0,     0.00,          0,     0.00,          0,     0.00, 0.00551284,   -51.62, 0.00551284,   128.38,          0,     0.00,          0,     0.00,          0,     0.00, 0.00551284,   128.38
Reactor.GND_R14,  0.0281779,   -34.48,          0,     0.00,          0,     0.00,          0,     0.00,  0.0281779,   -34.48,  0.0281779,   145.52,          0,     0.00,          0,     0.00,          0,     0.00,  0.0281779,   145.52
Reactor.GND_R15,  0.0270273,  -122.75,          0,     0.00,          0,     0.00,          0,     0.00,  0.0270273,  -122.75,  0.0270273,    57.25,          0,     0.00,          0,     0.00,          0,     0.00,  0.0270273,    57.25
Reactor.GND_R16,  0.0272715,  -134.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0272715,  -134.33,  0.0272715,    45.67,          0,     0.00,          0,     0.00,          0,     0.00,  0.0272715,    45.67
Reactor.GND_R17,   0.028711,   -34.94,          0,     0.00,          0,     0.00,          0,     0.00,   0.028711,   -34.94,   0.028711,   145.06,          0,     0.00,          0,     0.00,          0,     0.00,   0.028711,   145.06
Reactor.GND_R18,  0.0253923,  -140.01,          0,     0.00,          0,     0.00,          0,     0.00,  0.0253923,  -140.01,  0.0253923,    39.99,          0,     0.00,          0,     0.00,          0,     0.00,  0.0253923,    39.99
Reactor.GND_R19,  0.0222521,    99.55,          0,     0.00,          0,     0.00,          0,     0.00,  0.0222521,    99.55,  0.0222521,   -80.45,          0,     0.00,          0,     0.00,          0,     0.00,  0.0222521,   -80.45
Reactor.GND_R20,   0.022907,  -140.37,          0,     0.00,          0,     0.00,          0,     0.00,   0.022907,  -140.37,   0.022907,    39.63,          0,     0.00,          0,     0.00,          0,     0.00,   0.022907,    39.63
Reactor.GND_R21,   0.045166,    63.41,          0,     0.00,          0,     0.00,          0,     0.00,   0.045166,    63.41,   0.045166,  -116.59,          0,     0.00,          0,     0.00,          0,     0.00,   0.045166,  -116.59
Reactor.GND_R22,  0.0199555,  -140.95,          0,     0.00,          0,     0.00,          0,     0.00,  0.0199555,  -140.95,  0.0199555,    39.05,          0,     0.00,          0,     0.00,          0,     0.00,  0.0199555,    39.05
Reactor.GND_R23,  0.0162729,  -152.22,          0,     0.00,          0,     0.00,          0,     0.00,  0.0162729,  -152.22,  0.0162729,    27.78,          0,     0.00,          0,     0.00,          0,     0.00,  0.0162729,    27.78
Reactor.GND_R24, 0.00555874,   -64.41,          0,     0.00,          0,     0.00,          0,     0.00, 0.00555874,   -64.41, 0.00555874,   115.59,          0,     0.00,          0,     0.00,          0,     0.00, 0.00555874,   115.59
Reactor.GND_R25,  0.0272715,  -134.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0272715,  -134.33,  0.0272715,    45.67,          0,     0.00,          0,     0.00,          0,     0.00,  0.0272715,    45.67
Reactor.GND_R26,  0.0222521,    99.55,          0,     0.00,          0,     0.00,          0,     0.00,  0.0222521,    99.55,  0.0222521,   -80.45,          0,     0.00,          0,     0.00,          0,     0.00,  0.0222521,   -80.45
Reactor.GND_R27,  0.0175362,  -134.59,          0,     0.00,          0,     0.00,          0,     0.00,  0.0175362,  -134.59,  0.0175362,    45.41,          0,     0.00,          0,     0.00,          0,     0.00,  0.0175362,    45.41
Reactor.GND_R28,  0.0156228,  -151.13,          0,     0.00,          0,     0.00,          0,     0.00,  0.0156228,  -151.13,  0.0156228,    28.87,          0,     0.00,          0,     0.00,          0,     0.00,  0.0156228,    28.87
Transformer.T1,   0.293662,   -39.49,   0.276354,  -145.79,   0.342141,    89.68,          0,     0.00, 1.28095E-014,    33.69,    19.3768,   118.03,    12.1316,    -1.86,    17.5996,  -121.84,    6.50961,   -15.68, 6.03328E-007,   124.57
Load.C01,    1.47462,   -61.98,    1.47462,   118.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C02,    1.65009,   178.19,    1.65009,    -1.81,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C03,    1.78084,    58.22,    1.78084,  -121.78,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C04,     2.1813,    58.23,     2.1813,  -121.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C05,    1.21944,   -62.07,    1.21944,   117.93,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C06,   0.612906,    58.15,   0.612906,  -121.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C07,    1.11857,   -61.95,    1.11857,   118.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C08,   0.528998,   178.09,   0.528998,    -1.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C09,    1.58082,    58.21,    1.58082,  -121.79,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C10,     1.7736,   -61.97,     1.7736,   118.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C11,   0.373826,   178.12,   0.373826,    -1.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C12,   0.257411,    58.15,   0.257411,  -121.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C13,    1.59097,   -61.97,    1.59097,   118.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.C14,    1.47391,   -61.94,    1.47391,   118.06,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
