Nome_ID,Case,Simulation,Name,Bus,Measurement,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
235,7,3,pv_0,bus_33998182_026,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431789770964286,2.596036823678572,2.596036823678572,2.596036823678572,2.596036823678572,2.6234980357142863,2.6234980357142863,2.6234980357142863,2.6234980357142863,2.541188716678572,2.541188716678572,2.541188716678572,2.541188716678572,2.4045019654285715,2.4045019654285715,2.4045019654285715,2.4045019654285715,2.214180952678572,2.214180952678572,2.214180952678572,2.214180952678572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
236,7,3,pv_0,bus_33998182_026,kvar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3273262647858073,-3.2008271388197267,-3.2008271388197267,-3.2008271388197267,-3.2008271388197267,-3.1783580067549484,-3.1783580067549484,-3.1783580067549484,-3.1783580067549484,-3.2356600927551042,-3.2374367416982235,-3.238858060852719,-3.239995116176315,-3.3378988662270306,-3.341210922180362,-3.34238854207488,-3.343330637990494,-3.466819838107359,-3.468642299332004,-3.47010026831172,-3.4712666434954924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
237,7,3,pv_0,bus_33998182_026,irradNow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.99,0.99,0.99,0.99,1,1,1,1,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
238,7,3,pv_1,bus_33998182_020,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4317897709642864,2.5960368236785714,2.5960368236785714,2.5960368236785714,2.5960368236785714,2.6234980357142863,2.6234980357142863,2.6234980357142863,2.6234980357142863,2.541188716678572,2.541188716678572,2.541188716678572,2.541188716678572,2.4045019654285715,2.4045019654285715,2.4045019654285715,2.4045019654285715,2.214180952678572,2.214180952678572,2.214180952678572,2.214180952678572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
239,7,3,pv_1,bus_33998182_020,kvar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.327326264785807,-3.2008271388197267,-3.2008271388197267,-3.2008271388197267,-3.2008271388197267,-3.1783580067549484,-3.1783580067549484,-3.1783580067549484,-3.1783580067549484,-3.235660092755105,-3.2374367416982244,-3.2388580608527198,-3.239995116176316,-3.3378988662270315,-3.3412109221803625,-3.3423885420748802,-3.343330637990495,-3.46681983810736,-3.468642299332004,-3.47010026831172,-3.4712666434954924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
240,7,3,pv_1,bus_33998182_020,irradNow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.99,0.99,0.99,0.99,1,1,1,1,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
241,7,3,pv_2,bus_33998182_004,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4317897709642864,2.5960368236785714,2.5960368236785714,2.5960368236785714,2.5960368236785714,2.6234980357142863,2.6234980357142863,2.6234980357142863,2.6234980357142863,2.541188716678572,2.541188716678572,2.541188716678572,2.541188716678572,2.4045019654285715,2.4045019654285715,2.4045019654285715,2.4045019654285715,2.214180952678572,2.214180952678572,2.214180952678572,2.214180952678572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
242,7,3,pv_2,bus_33998182_004,kvar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.327326264785807,-3.2008271388197267,-3.2008271388197267,-3.2008271388197267,-3.2008271388197267,-3.1783580067549484,-3.1783580067549484,-3.1783580067549484,-3.1783580067549484,-3.235660092755105,-3.2374367416982244,-3.2388580608527198,-3.239995116176316,-3.3378988662270315,-3.3412109221803625,-3.3423885420748802,-3.343330637990495,-3.46681983810736,-3.468642299332004,-3.47010026831172,-3.4712666434954924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
243,7,3,pv_2,bus_33998182_004,irradNow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.99,0.99,0.99,0.99,1,1,1,1,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
244,7,4,pv_0,bus_33998182_026,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7419788916698454,0.7302624585058305,0.7387714555065881,0.7426114506224861,0.7435051854297933,0.7394347810229522,0.7330613014848848,0.7315829854875523,0.735847793636707,0.7272276851645478,0.7233623461190473,0.7249103234623575,0.728657717024438,0.7405297828284106,0.7282838776136954,0.7344547237060022,0.729046170019789,0.7287723759923607,0.7279587597609366,0.7294063307193772,0.7361856377252783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
