Nome_ID,Case,Simulation,Elemento,I_pu_max_a,I_pu_max_b,I_pu_max_c,I_pu_min_a,I_pu_min_b,I_pu_min_c,
286,1,3,Load.C13,2.17714,2.17714,0,1.64147,1.64147,0,
287,1,3,Load.C14,2.0422,2.0422,0,1.54036,1.54036,0,
288,1,3,Load.C15,1.36025,1.36025,0,1.02643,1.02643,0,
289,1,3,Load.C16,2.55232,2.55232,0,1.9243,1.9243,0,
290,1,3,Load.C17,0.738659,0.744964,0.751412,0.409519,0.412897,0.416678,
291,1,3,Load.C18,3.17268,3.17268,0,2.16428,2.16428,0,
292,1,3,Load.C19,9.76277,9.77853,9.88041,7.64123,7.6581,7.72271,
293,1,3,Load.C20,1.63763,1.67075,1.58396,1.12237,1.13861,1.08635,
294,1,3,Load.C21,0.748428,0.749807,0.756469,0.695779,0.696462,0.700957,
295,1,3,Load.C22,0.912135,0.912135,0,0.505581,0.505581,0,
296,1,3,Load.C23,0.379213,0.379213,0,0.18746,0.18746,0,
297,1,3,Load.C24,0.0113395,0.0113395,0,0.00628498,0.00628498,0,
298,1,3,Load.C25,2.0292,2.0292,0,1.53161,1.53161,0,
299,1,3,Load.C26,1.88958,1.9127,1.8715,1.29353,1.3071,1.28145,
300,1,3,Load.C27,0.00563628,0.00567418,0.00578694,0.00312433,0.00314423,0.00320804,
301,1,3,PVSystem.PV_0,15.7911,14.5011,14.722,10.8715,10.2239,10.3655,
302,1,3,PVSystem.PV_1,10.6566,9.71551,9.93398,7.30599,6.84297,6.98308,
303,1,3,PVSystem.PV_2,33.912,33.912,0,22.6576,22.6576,0,
304,1,3,PVSystem.PV_3,33.5834,33.5834,0,23.7012,23.7012,0,
305,1,3,PVSystem.PV_4,34.8547,34.8547,0,23.9314,23.9314,0,
306,1,3,PVSystem.PV_5,16.2984,16.8385,18.1398,11.6659,11.8521,12.4665,
307,1,4,Vsource.SOURCE,0.415016,0.538578,0.527119,0.260672,0.360626,0.303035,
308,1,4,Line._ABCN_L01-SEC,10.2703,10.2551,9.53989,8.44102,6.20271,6.14883,
309,1,4,Line._CN_L02-RAMAL,7.64865E-06,6.56717E-06,0,7.62878E-06,6.5602E-06,0,
310,1,4,Line._ABCN_L03-SEC,25.5549,7.44905,28.3278,15.1297,4.37704,19.8508,
311,1,4,Line._ABCN_L04-SEC,1.08079E-05,1.23514E-05,1.17862E-05,1.07788E-05,1.23388E-05,1.17506E-05,
312,1,4,Line._ABCN_L05-SEC,3.61518,9.77654,10.0271,2.72503,6.33197,6.84021,
313,1,4,Line._ABCN_L06-SEC,6.99084,5.43281,6.90401,5.81886,4.38971,5.58455,
314,1,4,Line._AN_L07-RAMAL,1.55961,2.10897,0,1.17579,1.79599,0,
315,1,4,Line._BCN_L08-RAMAL,0.739344,0.738148,0.707617,0.409718,0.409072,0.367917,
